video_id, sentence_id, dep_total_original, dep_total_random, total_words
11, 48, 7, 10, 5
11, 54, 11, 8, 6
11, 56, 33, 54, 13
11, 58, 7, 11, 5
11, 60, 8, 17, 6
11, 73, 11, 18, 6
11, 78, 32, 42, 11
11, 79, 12, 14, 7
11, 81, 21, 29, 10
11, 93, 67, 101, 20
11, 97, 4, 10, 5
11, 99, 7, 10, 6
11, 104, 8, 14, 6
11, 110, 21, 16, 7
11, 119, 8, 18, 6
11, 125, 13, 18, 7
11, 137, 11, 10, 6
11, 139, 25, 41, 12
11, 140, 53, 74, 17
11, 145, 6, 8, 5
11, 151, 18, 26, 9
11, 163, 9, 19, 6
11, 167, 7, 14, 5
11, 169, 22, 50, 11
11, 171, 11, 15, 6
11, 174, 16, 20, 8
11, 175, 7, 12, 5
11, 179, 21, 42, 11
11, 180, 20, 39, 10
11, 181, 13, 26, 8
11, 182, 15, 16, 7
11, 187, 7, 13, 5
11, 190, 14, 22, 8
11, 192, 7, 7, 5
11, 196, 4, 7, 5
11, 197, 9, 14, 6
11, 199, 25, 30, 9
12, 3, 43, 112, 17
12, 4, 11, 15, 5
12, 5, 8, 8, 5
12, 6, 52, 117, 17
12, 8, 64, 97, 19
12, 13, 10, 8, 5
12, 15, 9, 13, 6
12, 17, 41, 66, 15
12, 19, 13, 15, 8
12, 23, 13, 23, 8
12, 25, 4, 12, 5
12, 26, 17, 17, 9
12, 27, 27, 49, 12
12, 28, 21, 29, 10
12, 29, 28, 41, 10
12, 31, 12, 17, 7
12, 33, 35, 74, 15
12, 34, 39, 51, 14
12, 37, 17, 29, 9
12, 38, 18, 23, 8
12, 39, 48, 87, 15
12, 42, 44, 85, 17
12, 45, 27, 63, 11
12, 46, 20, 25, 9
12, 47, 46, 82, 15
12, 48, 45, 64, 15
12, 49, 7, 14, 5
12, 51, 9, 10, 6
12, 52, 34, 45, 12
12, 53, 16, 29, 9
12, 54, 23, 48, 12
12, 55, 32, 35, 12
12, 56, 45, 87, 17
12, 58, 10, 14, 6
12, 59, 39, 98, 15
12, 60, 13, 15, 6
12, 61, 13, 14, 6
12, 62, 41, 62, 14
12, 65, 22, 26, 8
12, 67, 7, 10, 5
12, 70, 9, 7, 5
12, 71, 26, 43, 11
12, 76, 10, 8, 5
12, 77, 7, 9, 5
12, 81, 15, 15, 8
12, 82, 24, 19, 9
13, 4, 17, 42, 9
13, 5, 11, 11, 6
13, 6, 48, 63, 16
13, 8, 13, 23, 7
13, 9, 15, 28, 8
13, 10, 19, 40, 9
13, 11, 49, 50, 14
13, 12, 6, 8, 5
13, 27, 11, 15, 6
13, 28, 11, 17, 7
13, 31, 18, 25, 8
13, 32, 9, 10, 6
13, 34, 13, 21, 7
13, 35, 15, 24, 8
13, 60, 9, 15, 5
13, 70, 36, 46, 13
13, 88, 8, 9, 6
13, 90, 25, 22, 10
14, 1, 9, 20, 7
14, 3, 24, 45, 11
14, 4, 27, 65, 13
14, 5, 7, 10, 5
14, 6, 9, 14, 6
14, 7, 7, 6, 5
14, 8, 19, 27, 8
14, 9, 21, 39, 10
14, 10, 21, 53, 10
14, 11, 9, 9, 6
14, 12, 21, 43, 10
14, 15, 19, 22, 10
14, 18, 38, 45, 13
14, 19, 12, 23, 7
14, 21, 14, 19, 8
14, 22, 16, 21, 8
14, 23, 28, 49, 12
14, 25, 6, 7, 5
14, 26, 7, 8, 5
14, 30, 13, 21, 7
14, 32, 14, 16, 7
14, 33, 14, 16, 8
14, 36, 30, 42, 11
14, 37, 19, 42, 9
14, 38, 22, 46, 11
14, 39, 9, 9, 5
14, 40, 23, 35, 10
14, 41, 14, 17, 7
14, 42, 7, 9, 5
14, 43, 18, 28, 8
14, 45, 27, 42, 10
14, 46, 18, 20, 8
14, 47, 8, 5, 5
14, 48, 6, 10, 5
14, 49, 21, 37, 9
14, 50, 14, 30, 8
14, 51, 22, 27, 8
14, 53, 11, 17, 6
14, 55, 10, 11, 6
14, 58, 27, 39, 10
14, 64, 12, 12, 7
14, 68, 7, 7, 5
14, 70, 16, 32, 8
14, 73, 12, 27, 7
14, 74, 21, 28, 10
14, 76, 15, 17, 8
14, 77, 15, 14, 6
14, 79, 11, 14, 6
15, 4, 9, 10, 6
15, 8, 46, 89, 15
15, 14, 15, 12, 7
15, 15, 12, 21, 7
15, 16, 52, 109, 15
15, 17, 13, 12, 7
15, 19, 15, 31, 8
15, 21, 33, 60, 12
15, 22, 22, 14, 9
15, 26, 11, 12, 6
15, 27, 9, 12, 6
15, 29, 24, 22, 9
15, 31, 33, 53, 13
15, 32, 19, 22, 9
15, 36, 7, 9, 5
15, 43, 25, 43, 10
15, 44, 15, 16, 8
15, 56, 34, 38, 11
15, 71, 13, 15, 6
15, 72, 7, 8, 5
15, 73, 16, 32, 8
15, 74, 29, 69, 11
15, 83, 20, 20, 8
15, 90, 23, 29, 12
15, 91, 10, 10, 5
15, 94, 8, 11, 5
15, 100, 27, 22, 9
15, 101, 10, 9, 6
15, 102, 36, 24, 9
15, 104, 29, 37, 12
15, 105, 7, 12, 5
15, 106, 14, 12, 7
15, 113, 10, 8, 5
15, 131, 10, 6, 5
15, 138, 24, 31, 10
16, 4, 6, 5, 5
16, 5, 11, 8, 6
16, 6, 21, 22, 9
16, 11, 22, 39, 9
16, 12, 7, 14, 5
16, 17, 10, 16, 6
16, 18, 21, 28, 9
